Layer Name,Type,Input Shape,Time (ms),Mem Delta (MB),Abs Mem (MB),OPs,Category,ShortName
model.layers.1.mlp.act_fn,Activation,"[1, 3, 6912]",0.15961999997671228,0.0,5385.6484375,41472,Activation,act_fn
model.layers.1.mlp.up_proj,Linear,"[1, 3, 2560]",36.25028199985536,0.40234375,5386.05078125,106168320,MLP,up_proj
model.layers.1.mlp.ffn_sub_norm,Norm,"[1, 3, 6912]",0.6415459999971063,0.0,5386.05078125,62208,Norm,ffn_sub_norm
model.layers.1.mlp.down_proj,Linear,"[1, 3, 6912]",26.410746000010477,-0.22265625,5385.828125,106168320,MLP,down_proj
model.layers.2.input_layernorm,Norm,"[1, 3, 2560]",0.5431350000435486,0.0,5385.828125,23040,Norm,input_layernorm
model.layers.2.self_attn.q_proj,Linear,"[1, 3, 2560]",11.53045299997757,0.0,5385.828125,39321600,Attention,q_proj
model.layers.2.self_attn.k_proj,Linear,"[1, 3, 2560]",4.663325000137775,0.0,5385.828125,9830400,Attention,k_proj
model.layers.2.self_attn.v_proj,Linear,"[1, 3, 2560]",5.527445000097941,0.0,5385.828125,9830400,Attention,v_proj
model.layers.2.self_attn.attn_sub_norm,Norm,"[1, 3, 2560]",0.8201380001082725,0.0,5385.828125,23040,Norm,attn_sub_norm
model.layers.2.self_attn.o_proj,Linear,"[1, 3, 2560]",10.435302000132651,0.0,5385.828125,39321600,Attention,o_proj
model.layers.2.post_attention_layernorm,Norm,"[1, 3, 2560]",0.36838099981650885,0.0,5385.828125,23040,Norm,post_attention_layernorm
model.layers.2.mlp.gate_proj,Linear,"[1, 3, 2560]",40.20156499996119,0.08984375,5385.91796875,106168320,MLP,gate_proj
model.layers.2.mlp.act_fn,Activation,"[1, 3, 6912]",0.28708000013466517,0.0,5385.91796875,41472,Activation,act_fn
model.layers.2.mlp.up_proj,Linear,"[1, 3, 2560]",41.04016899987073,0.08984375,5386.0078125,106168320,MLP,up_proj
model.layers.2.mlp.ffn_sub_norm,Norm,"[1, 3, 6912]",1.6139330000441987,0.0,5386.0078125,62208,Norm,ffn_sub_norm
model.layers.2.mlp.down_proj,Linear,"[1, 3, 6912]",37.59797099996831,-0.37890625,5385.62890625,106168320,MLP,down_proj
model.layers.3.input_layernorm,Norm,"[1, 3, 2560]",0.7811709999714367,0.0,5385.62890625,23040,Norm,input_layernorm
model.layers.3.self_attn.q_proj,Linear,"[1, 3, 2560]",13.734364999891113,0.0,5385.62890625,39321600,Attention,q_proj
model.layers.3.self_attn.k_proj,Linear,"[1, 3, 2560]",5.987531000073432,0.0,5385.62890625,9830400,Attention,k_proj
model.layers.3.self_attn.v_proj,Linear,"[1, 3, 2560]",7.478405000028943,0.0,5385.62890625,9830400,Attention,v_proj
model.layers.3.self_attn.attn_sub_norm,Norm,"[1, 3, 2560]",0.9460580001814378,0.0,5385.62890625,23040,Norm,attn_sub_norm
model.layers.3.self_attn.o_proj,Linear,"[1, 3, 2560]",16.792438999800652,0.0,5385.62890625,39321600,Attention,o_proj
model.layers.3.post_attention_layernorm,Norm,"[1, 3, 2560]",0.6085360000724904,0.0,5385.62890625,23040,Norm,post_attention_layernorm
model.layers.3.mlp.gate_proj,Linear,"[1, 3, 2560]",45.13287500003571,0.40234375,5386.03125,106168320,MLP,gate_proj
model.layers.3.mlp.act_fn,Activation,"[1, 3, 6912]",0.2746769998793752,0.0,5386.03125,41472,Activation,act_fn
model.layers.3.mlp.up_proj,Linear,"[1, 3, 2560]",33.250756000143156,-0.06640625,5385.96484375,106168320,MLP,up_proj
model.layers.3.mlp.ffn_sub_norm,Norm,"[1, 3, 6912]",0.8555919998798345,0.0,5385.96484375,62208,Norm,ffn_sub_norm
model.layers.3.mlp.down_proj,Linear,"[1, 3, 6912]",39.211797999996634,-0.06640625,5385.8984375,106168320,MLP,down_proj
model.layers.4.input_layernorm,Norm,"[1, 3, 2560]",0.3421219998926972,0.0,5385.8984375,23040,Norm,input_layernorm
model.layers.4.self_attn.q_proj,Linear,"[1, 3, 2560]",18.665388000044913,0.0,5385.8984375,39321600,Attention,q_proj
model.layers.4.self_attn.k_proj,Linear,"[1, 3, 2560]",4.2679420000695245,0.0,5385.8984375,9830400,Attention,k_proj
model.layers.4.self_attn.v_proj,Linear,"[1, 3, 2560]",4.591197999843644,0.0,5385.8984375,9830400,Attention,v_proj
model.layers.4.self_attn.attn_sub_norm,Norm,"[1, 3, 2560]",0.6459349999659025,0.0,5385.8984375,23040,Norm,attn_sub_norm
model.layers.4.self_attn.o_proj,Linear,"[1, 3, 2560]",10.04400900001201,0.0,5385.8984375,39321600,Attention,o_proj
model.layers.4.post_attention_layernorm,Norm,"[1, 3, 2560]",0.3851030000987521,0.0,5385.8984375,23040,Norm,post_attention_layernorm
model.layers.4.mlp.gate_proj,Linear,"[1, 3, 2560]",28.85806600011165,0.09375,5385.9921875,106168320,MLP,gate_proj
model.layers.4.mlp.act_fn,Activation,"[1, 3, 6912]",0.17169400007333024,0.0,5385.9921875,41472,Activation,act_fn
model.layers.4.mlp.up_proj,Linear,"[1, 3, 2560]",32.5002949998634,-0.37890625,5385.61328125,106168320,MLP,up_proj
model.layers.4.mlp.ffn_sub_norm,Norm,"[1, 3, 6912]",0.40145999992091674,0.0,5385.61328125,62208,Norm,ffn_sub_norm
model.layers.4.mlp.down_proj,Linear,"[1, 3, 6912]",33.40490300001875,0.40234375,5386.015625,106168320,MLP,down_proj
model.layers.5.input_layernorm,Norm,"[1, 3, 2560]",1.5817839998817362,0.0,5386.015625,23040,Norm,input_layernorm
model.layers.5.self_attn.q_proj,Linear,"[1, 3, 2560]",5.567495999912353,0.0,5386.015625,39321600,Attention,q_proj
model.layers.5.self_attn.k_proj,Linear,"[1, 3, 2560]",3.399540999907913,0.0,5386.015625,9830400,Attention,k_proj
model.layers.5.self_attn.v_proj,Linear,"[1, 3, 2560]",2.0528659999854426,0.0,5386.015625,9830400,Attention,v_proj
model.layers.5.self_attn.attn_sub_norm,Norm,"[1, 3, 2560]",0.3269410001394135,0.0,5386.015625,23040,Norm,attn_sub_norm
model.layers.5.self_attn.o_proj,Linear,"[1, 3, 2560]",8.293097999967358,0.0,5386.015625,39321600,Attention,o_proj
model.layers.5.post_attention_layernorm,Norm,"[1, 3, 2560]",0.6354059999011952,0.0,5386.015625,23040,Norm,post_attention_layernorm
model.layers.5.mlp.gate_proj,Linear,"[1, 3, 2560]",30.517906999875777,-0.06640625,5385.94921875,106168320,MLP,gate_proj
model.layers.5.mlp.act_fn,Activation,"[1, 3, 6912]",0.12983399983568233,0.0,5385.94921875,41472,Activation,act_fn
model.layers.5.mlp.up_proj,Linear,"[1, 3, 2560]",33.224422999865055,-0.06640625,5385.8828125,106168320,MLP,up_proj
model.layers.5.mlp.ffn_sub_norm,Norm,"[1, 3, 6912]",0.8732829999189562,0.0,5385.8828125,62208,Norm,ffn_sub_norm
model.layers.5.mlp.down_proj,Linear,"[1, 3, 6912]",31.783383999936632,0.08984375,5385.97265625,106168320,MLP,down_proj
model.layers.6.input_layernorm,Norm,"[1, 3, 2560]",0.27973100009148766,0.0,5385.97265625,23040,Norm,input_layernorm
model.layers.6.self_attn.q_proj,Linear,"[1, 3, 2560]",8.046021999916775,0.0,5385.97265625,39321600,Attention,q_proj
model.layers.6.self_attn.k_proj,Linear,"[1, 3, 2560]",2.3442950000571727,0.0,5385.97265625,9830400,Attention,k_proj
model.layers.6.self_attn.v_proj,Linear,"[1, 3, 2560]",2.7567659999476746,0.0,5385.97265625,9830400,Attention,v_proj
model.layers.6.self_attn.attn_sub_norm,Norm,"[1, 3, 2560]",0.3092040001320129,0.0,5385.97265625,23040,Norm,attn_sub_norm
model.layers.6.self_attn.o_proj,Linear,"[1, 3, 2560]",8.454471000050034,0.0,5385.97265625,39321600,Attention,o_proj
model.layers.6.post_attention_layernorm,Norm,"[1, 3, 2560]",0.4984089998743002,0.0,5385.97265625,23040,Norm,post_attention_layernorm
model.layers.6.mlp.gate_proj,Linear,"[1, 3, 2560]",29.848145999949338,-0.22265625,5385.75,106168320,MLP,gate_proj
model.layers.6.mlp.act_fn,Activation,"[1, 3, 6912]",0.1748150000366877,0.0,5385.75,41472,Activation,act_fn
model.layers.6.mlp.up_proj,Linear,"[1, 3, 2560]",24.760965999803375,0.24609375,5385.99609375,106168320,MLP,up_proj
model.layers.6.mlp.ffn_sub_norm,Norm,"[1, 3, 6912]",0.4380540001420741,0.0,5385.99609375,62208,Norm,ffn_sub_norm
model.layers.6.mlp.down_proj,Linear,"[1, 3, 6912]",31.229448999965825,-0.06640625,5385.9296875,106168320,MLP,down_proj
model.layers.7.input_layernorm,Norm,"[1, 3, 2560]",0.6598939999094,0.0,5385.9296875,23040,Norm,input_layernorm
model.layers.7.self_attn.q_proj,Linear,"[1, 3, 2560]",15.084908000062569,0.0,5385.9296875,39321600,Attention,q_proj
model.layers.7.self_attn.k_proj,Linear,"[1, 3, 2560]",4.391698000063116,0.0,5385.9296875,9830400,Attention,k_proj
model.layers.7.self_attn.v_proj,Linear,"[1, 3, 2560]",4.249407000088468,0.0,5385.9296875,9830400,Attention,v_proj
model.layers.7.self_attn.attn_sub_norm,Norm,"[1, 3, 2560]",0.32327700000678306,0.0,5385.9296875,23040,Norm,attn_sub_norm
model.layers.7.self_attn.o_proj,Linear,"[1, 3, 2560]",12.741193000010753,0.0,5385.9296875,39321600,Attention,o_proj
model.layers.7.post_attention_layernorm,Norm,"[1, 3, 2560]",0.4990009999801259,0.0,5385.9296875,23040,Norm,post_attention_layernorm
model.layers.7.mlp.gate_proj,Linear,"[1, 3, 2560]",29.6379110000089,-0.06640625,5385.86328125,106168320,MLP,gate_proj
model.layers.7.mlp.act_fn,Activation,"[1, 3, 6912]",0.43858200001523073,0.0,5385.86328125,41472,Activation,act_fn
model.layers.7.mlp.up_proj,Linear,"[1, 3, 2560]",24.777541000048586,0.08984375,5385.953125,106168320,MLP,up_proj
model.layers.7.mlp.ffn_sub_norm,Norm,"[1, 3, 6912]",0.4568940000808652,0.0,5385.953125,62208,Norm,ffn_sub_norm
model.layers.7.mlp.down_proj,Linear,"[1, 3, 6912]",20.558244000085324,-0.22265625,5385.73046875,106168320,MLP,down_proj
model.layers.8.input_layernorm,Norm,"[1, 3, 2560]",0.37588899999718706,0.0,5385.73046875,23040,Norm,input_layernorm
model.layers.8.self_attn.q_proj,Linear,"[1, 3, 2560]",8.120073000100092,0.0,5385.73046875,39321600,Attention,q_proj
model.layers.8.self_attn.k_proj,Linear,"[1, 3, 2560]",3.0512950002048456,0.0,5385.73046875,9830400,Attention,k_proj
model.layers.8.self_attn.v_proj,Linear,"[1, 3, 2560]",3.259409000065716,0.0,5385.73046875,9830400,Attention,v_proj
model.layers.8.self_attn.attn_sub_norm,Norm,"[1, 3, 2560]",0.23941399990690115,0.0,5385.73046875,23040,Norm,attn_sub_norm
model.layers.8.self_attn.o_proj,Linear,"[1, 3, 2560]",7.691778999969756,0.0,5385.73046875,39321600,Attention,o_proj
model.layers.8.post_attention_layernorm,Norm,"[1, 3, 2560]",0.2579859999514156,0.0,5385.73046875,23040,Norm,post_attention_layernorm
model.layers.8.mlp.gate_proj,Linear,"[1, 3, 2560]",18.46360499985167,0.24609375,5385.9765625,106168320,MLP,gate_proj
model.layers.8.mlp.act_fn,Activation,"[1, 3, 6912]",0.15531300005022786,0.0,5385.9765625,41472,Activation,act_fn
model.layers.8.mlp.up_proj,Linear,"[1, 3, 2560]",21.594631999960257,-0.06640625,5385.91015625,106168320,MLP,up_proj
model.layers.8.mlp.ffn_sub_norm,Norm,"[1, 3, 6912]",0.3723999998328509,0.0,5385.91015625,62208,Norm,ffn_sub_norm
model.layers.8.mlp.down_proj,Linear,"[1, 3, 6912]",22.17800200014608,0.09375,5386.00390625,106168320,MLP,down_proj
model.layers.9.input_layernorm,Norm,"[1, 3, 2560]",0.43862699999408505,0.0,5386.00390625,23040,Norm,input_layernorm
model.layers.9.self_attn.q_proj,Linear,"[1, 3, 2560]",5.9360760001254675,0.0,5386.00390625,39321600,Attention,q_proj
model.layers.9.self_attn.k_proj,Linear,"[1, 3, 2560]",2.2358480000548298,0.0,5386.00390625,9830400,Attention,k_proj
model.layers.9.self_attn.v_proj,Linear,"[1, 3, 2560]",4.250628999898254,0.0,5386.00390625,9830400,Attention,v_proj
model.layers.9.self_attn.attn_sub_norm,Norm,"[1, 3, 2560]",0.2535509997869667,0.0,5386.00390625,23040,Norm,attn_sub_norm
model.layers.9.self_attn.o_proj,Linear,"[1, 3, 2560]",8.10104499987574,0.0,5386.00390625,39321600,Attention,o_proj
model.layers.9.post_attention_layernorm,Norm,"[1, 3, 2560]",0.2277159999266587,0.0,5386.00390625,23040,Norm,post_attention_layernorm
model.layers.9.mlp.gate_proj,Linear,"[1, 3, 2560]",21.312049000016486,-0.06640625,5385.9375,106168320,MLP,gate_proj
model.layers.9.mlp.act_fn,Activation,"[1, 3, 6912]",0.1337769999736338,0.0,5385.9375,41472,Activation,act_fn
model.layers.9.mlp.up_proj,Linear,"[1, 3, 2560]",21.312966999857963,-0.22265625,5385.71484375,106168320,MLP,up_proj
model.layers.9.mlp.ffn_sub_norm,Norm,"[1, 3, 6912]",0.47443499988730764,0.0,5385.71484375,62208,Norm,ffn_sub_norm
model.layers.9.mlp.down_proj,Linear,"[1, 3, 6912]",26.96337800011861,0.24609375,5385.9609375,106168320,MLP,down_proj
model.layers.10.input_layernorm,Norm,"[1, 3, 2560]",0.376860999949713,0.0,5385.9609375,23040,Norm,input_layernorm
model.layers.10.self_attn.q_proj,Linear,"[1, 3, 2560]",10.376761000088663,0.0,5385.9609375,39321600,Attention,q_proj
model.layers.10.self_attn.k_proj,Linear,"[1, 3, 2560]",4.573161000053005,0.0,5385.9609375,9830400,Attention,k_proj
model.layers.10.self_attn.v_proj,Linear,"[1, 3, 2560]",4.901285999949323,0.0,5385.9609375,9830400,Attention,v_proj
model.layers.10.self_attn.attn_sub_norm,Norm,"[1, 3, 2560]",0.3661949999695935,0.0,5385.9609375,23040,Norm,attn_sub_norm
model.layers.10.self_attn.o_proj,Linear,"[1, 3, 2560]",13.075544999992417,0.0,5385.9609375,39321600,Attention,o_proj
model.layers.10.post_attention_layernorm,Norm,"[1, 3, 2560]",0.5798370000320574,0.0,5385.9609375,23040,Norm,post_attention_layernorm
model.layers.10.mlp.gate_proj,Linear,"[1, 3, 2560]",39.19937000000573,0.08984375,5386.05078125,106168320,MLP,gate_proj
model.layers.10.mlp.act_fn,Activation,"[1, 3, 6912]",0.3783059999022953,0.0,5386.05078125,41472,Activation,act_fn
model.layers.10.mlp.up_proj,Linear,"[1, 3, 2560]",37.81091499990907,-0.06640625,5385.984375,106168320,MLP,up_proj
model.layers.10.mlp.ffn_sub_norm,Norm,"[1, 3, 6912]",0.9711799998513015,0.0,5385.984375,62208,Norm,ffn_sub_norm
model.layers.10.mlp.down_proj,Linear,"[1, 3, 6912]",33.90352199994595,-0.06640625,5385.91796875,106168320,MLP,down_proj
model.layers.11.input_layernorm,Norm,"[1, 3, 2560]",0.4573119999804476,0.0,5385.91796875,23040,Norm,input_layernorm
model.layers.11.self_attn.q_proj,Linear,"[1, 3, 2560]",11.530475999961709,0.0,5385.91796875,39321600,Attention,q_proj
model.layers.11.self_attn.k_proj,Linear,"[1, 3, 2560]",4.607767999914358,0.0,5385.91796875,9830400,Attention,k_proj
model.layers.11.self_attn.v_proj,Linear,"[1, 3, 2560]",4.00451499990595,0.0,5385.91796875,9830400,Attention,v_proj
model.layers.11.self_attn.attn_sub_norm,Norm,"[1, 3, 2560]",1.2003609999737819,0.0,5385.91796875,23040,Norm,attn_sub_norm
model.layers.11.self_attn.o_proj,Linear,"[1, 3, 2560]",9.763845999941623,0.0,5385.91796875,39321600,Attention,o_proj
model.layers.11.post_attention_layernorm,Norm,"[1, 3, 2560]",0.24875700000848155,0.0,5385.91796875,23040,Norm,post_attention_layernorm
model.layers.11.mlp.gate_proj,Linear,"[1, 3, 2560]",18.325202999903922,-0.22265625,5385.6953125,106168320,MLP,gate_proj
model.layers.11.mlp.act_fn,Activation,"[1, 3, 6912]",0.2930949999608856,0.0,5385.6953125,41472,Activation,act_fn
model.layers.11.mlp.up_proj,Linear,"[1, 3, 2560]",14.695077999931527,0.40234375,5386.09765625,106168320,MLP,up_proj
model.layers.11.mlp.ffn_sub_norm,Norm,"[1, 3, 6912]",0.4146559999753663,0.0,5386.09765625,62208,Norm,ffn_sub_norm
model.layers.11.mlp.down_proj,Linear,"[1, 3, 6912]",21.538425000017014,-0.06640625,5386.03125,106168320,MLP,down_proj
model.layers.12.input_layernorm,Norm,"[1, 3, 2560]",0.41506100001242885,0.0,5386.03125,23040,Norm,input_layernorm
model.layers.12.self_attn.q_proj,Linear,"[1, 3, 2560]",4.192785999975968,0.0,5386.03125,39321600,Attention,q_proj
model.layers.12.self_attn.k_proj,Linear,"[1, 3, 2560]",2.4421989999154903,0.0,5386.03125,9830400,Attention,k_proj
model.layers.12.self_attn.v_proj,Linear,"[1, 3, 2560]",1.5666369999962626,0.0,5386.03125,9830400,Attention,v_proj
model.layers.12.self_attn.attn_sub_norm,Norm,"[1, 3, 2560]",0.2592529999674298,0.0,5386.03125,23040,Norm,attn_sub_norm
model.layers.12.self_attn.o_proj,Linear,"[1, 3, 2560]",4.011165999827426,0.0,5386.03125,39321600,Attention,o_proj
model.layers.12.post_attention_layernorm,Norm,"[1, 3, 2560]",0.8844930000577733,0.0,5386.03125,23040,Norm,post_attention_layernorm
model.layers.12.mlp.gate_proj,Linear,"[1, 3, 2560]",14.86100100009935,-0.06640625,5385.96484375,106168320,MLP,gate_proj
model.layers.12.mlp.act_fn,Activation,"[1, 3, 6912]",0.33462000010331394,0.0,5385.96484375,41472,Activation,act_fn
model.layers.12.mlp.up_proj,Linear,"[1, 3, 2560]",13.461127999789824,-0.06640625,5385.8984375,106168320,MLP,up_proj
model.layers.12.mlp.ffn_sub_norm,Norm,"[1, 3, 6912]",0.36931899990122474,0.0,5385.8984375,62208,Norm,ffn_sub_norm
model.layers.12.mlp.down_proj,Linear,"[1, 3, 6912]",13.215363999961482,-0.22265625,5385.67578125,106168320,MLP,down_proj
model.layers.13.input_layernorm,Norm,"[1, 3, 2560]",0.45341299983192584,0.0,5385.67578125,23040,Norm,input_layernorm
model.layers.13.self_attn.q_proj,Linear,"[1, 3, 2560]",4.172524000068734,0.0,5385.67578125,39321600,Attention,q_proj
model.layers.13.self_attn.k_proj,Linear,"[1, 3, 2560]",1.671357999839529,0.0,5385.67578125,9830400,Attention,k_proj
model.layers.13.self_attn.v_proj,Linear,"[1, 3, 2560]",1.5398460000142222,0.0,5385.67578125,9830400,Attention,v_proj
model.layers.13.self_attn.attn_sub_norm,Norm,"[1, 3, 2560]",0.23062500008563802,0.0,5385.67578125,23040,Norm,attn_sub_norm
model.layers.13.self_attn.o_proj,Linear,"[1, 3, 2560]",3.5927760000049602,0.0,5385.67578125,39321600,Attention,o_proj
model.layers.13.post_attention_layernorm,Norm,"[1, 3, 2560]",0.4654940000818897,0.0,5385.67578125,23040,Norm,post_attention_layernorm
model.layers.13.mlp.gate_proj,Linear,"[1, 3, 2560]",12.452708999944662,0.40234375,5386.078125,106168320,MLP,gate_proj
model.layers.13.mlp.act_fn,Activation,"[1, 3, 6912]",0.20107799991819775,0.0,5386.078125,41472,Activation,act_fn
model.layers.13.mlp.up_proj,Linear,"[1, 3, 2560]",13.819758000181537,-0.06640625,5386.01171875,106168320,MLP,up_proj
model.layers.13.mlp.ffn_sub_norm,Norm,"[1, 3, 6912]",0.38840399997752684,0.0,5386.01171875,62208,Norm,ffn_sub_norm
model.layers.13.mlp.down_proj,Linear,"[1, 3, 6912]",14.536067000108233,-0.06640625,5385.9453125,106168320,MLP,down_proj
model.layers.14.input_layernorm,Norm,"[1, 3, 2560]",0.4243270000188204,0.0,5385.9453125,23040,Norm,input_layernorm
model.layers.14.self_attn.q_proj,Linear,"[1, 3, 2560]",4.0461369999320596,0.0,5385.9453125,39321600,Attention,q_proj
model.layers.14.self_attn.k_proj,Linear,"[1, 3, 2560]",1.4390999999704945,0.0,5385.9453125,9830400,Attention,k_proj
model.layers.14.self_attn.v_proj,Linear,"[1, 3, 2560]",1.2687060000189376,0.0,5385.9453125,9830400,Attention,v_proj
model.layers.14.self_attn.attn_sub_norm,Norm,"[1, 3, 2560]",0.5001259999062313,0.0,5385.9453125,23040,Norm,attn_sub_norm
model.layers.14.self_attn.o_proj,Linear,"[1, 3, 2560]",4.1690340001423465,0.0,5385.9453125,39321600,Attention,o_proj
model.layers.14.post_attention_layernorm,Norm,"[1, 3, 2560]",0.2592880000520381,0.0,5385.9453125,23040,Norm,post_attention_layernorm
model.layers.14.mlp.gate_proj,Linear,"[1, 3, 2560]",12.266081999996459,0.08984375,5386.03515625,106168320,MLP,gate_proj
model.layers.14.mlp.act_fn,Activation,"[1, 3, 6912]",0.13191799985179387,0.0,5386.03515625,41472,Activation,act_fn
model.layers.14.mlp.up_proj,Linear,"[1, 3, 2560]",13.690759999917645,-0.37890625,5385.65625,106168320,MLP,up_proj
model.layers.14.mlp.ffn_sub_norm,Norm,"[1, 3, 6912]",0.540668999974514,0.0,5385.65625,62208,Norm,ffn_sub_norm
model.layers.14.mlp.down_proj,Linear,"[1, 3, 6912]",14.077375000169923,0.40234375,5386.05859375,106168320,MLP,down_proj
model.layers.15.input_layernorm,Norm,"[1, 3, 2560]",0.3901489999407204,0.0,5386.05859375,23040,Norm,input_layernorm
model.layers.15.self_attn.q_proj,Linear,"[1, 3, 2560]",3.8091250000888977,0.0,5386.05859375,39321600,Attention,q_proj
model.layers.15.self_attn.k_proj,Linear,"[1, 3, 2560]",2.4232769999343873,0.0,5386.05859375,9830400,Attention,k_proj
model.layers.15.self_attn.v_proj,Linear,"[1, 3, 2560]",1.1921789998723398,0.0,5386.05859375,9830400,Attention,v_proj
model.layers.15.self_attn.attn_sub_norm,Norm,"[1, 3, 2560]",0.234844000033263,0.0,5386.05859375,23040,Norm,attn_sub_norm
model.layers.15.self_attn.o_proj,Linear,"[1, 3, 2560]",3.343022000080964,0.0,5386.05859375,39321600,Attention,o_proj
model.layers.15.post_attention_layernorm,Norm,"[1, 3, 2560]",0.2465200000187906,0.0,5386.05859375,23040,Norm,post_attention_layernorm
model.layers.15.mlp.gate_proj,Linear,"[1, 3, 2560]",12.743478999936997,-0.06640625,5385.9921875,106168320,MLP,gate_proj
model.layers.15.mlp.act_fn,Activation,"[1, 3, 6912]",0.17897900011121237,0.0,5385.9921875,41472,Activation,act_fn
model.layers.15.mlp.up_proj,Linear,"[1, 3, 2560]",13.060084000017014,-0.06640625,5385.92578125,106168320,MLP,up_proj
model.layers.15.mlp.ffn_sub_norm,Norm,"[1, 3, 6912]",0.3766499999073858,0.0,5385.92578125,62208,Norm,ffn_sub_norm
model.layers.15.mlp.down_proj,Linear,"[1, 3, 6912]",13.00459599997339,0.08984375,5386.015625,106168320,MLP,down_proj
model.layers.16.input_layernorm,Norm,"[1, 3, 2560]",0.4054839998843818,0.0,5386.015625,23040,Norm,input_layernorm
model.layers.16.self_attn.q_proj,Linear,"[1, 3, 2560]",3.68728800003737,0.0,5386.015625,39321600,Attention,q_proj
model.layers.16.self_attn.k_proj,Linear,"[1, 3, 2560]",1.4183709999997518,0.0,5386.015625,9830400,Attention,k_proj
model.layers.16.self_attn.v_proj,Linear,"[1, 3, 2560]",1.0215519998837408,0.0,5386.015625,9830400,Attention,v_proj
model.layers.16.self_attn.attn_sub_norm,Norm,"[1, 3, 2560]",0.4136430000016844,0.0,5386.015625,23040,Norm,attn_sub_norm
model.layers.16.self_attn.o_proj,Linear,"[1, 3, 2560]",4.392598000094949,0.0,5386.015625,39321600,Attention,o_proj
model.layers.16.post_attention_layernorm,Norm,"[1, 3, 2560]",0.5813440000110859,0.0,5386.015625,23040,Norm,post_attention_layernorm
model.layers.16.mlp.gate_proj,Linear,"[1, 3, 2560]",14.644948000068325,-0.37890625,5385.63671875,106168320,MLP,gate_proj
model.layers.16.mlp.act_fn,Activation,"[1, 3, 6912]",0.2231570001640648,0.0,5385.63671875,41472,Activation,act_fn
model.layers.16.mlp.up_proj,Linear,"[1, 3, 2560]",12.927391999937754,0.40234375,5386.0390625,106168320,MLP,up_proj
model.layers.16.mlp.ffn_sub_norm,Norm,"[1, 3, 6912]",0.334091000013359,0.0,5386.0390625,62208,Norm,ffn_sub_norm
model.layers.16.mlp.down_proj,Linear,"[1, 3, 6912]",13.04362900009437,0.08984375,5386.12890625,106168320,MLP,down_proj
model.layers.17.input_layernorm,Norm,"[1, 3, 2560]",0.8008430002064415,0.0,5386.12890625,23040,Norm,input_layernorm
model.layers.17.self_attn.q_proj,Linear,"[1, 3, 2560]",4.882302999931198,0.0,5386.12890625,39321600,Attention,q_proj
model.layers.17.self_attn.k_proj,Linear,"[1, 3, 2560]",2.258516999972926,0.0,5386.12890625,9830400,Attention,k_proj
